Company,Sector,Country,Market_Cap_Billions,Carbon_Emissions,Renewable_Energy_Usage,Employee_Satisfaction,Diversity_Ratio,Board_Independence,CEO_Compensation_Ratio,ROE
Company_1,Finance,UK,69.84,123.56,72.67,41.81,0.24,0.76,66.56,4.87
Company_2,Consumer Goods,UK,9.96,165.67,36.31,56.98,0.39,0.45,134.58,15.83
Company_3,Consumer Goods,Germany,52.77,19.08,58.42,49.77,0.55,0.61,80.5,6.99
Company_4,Technology,India,68.57,126.19,44.37,64.85,0.25,0.72,89.95,12.87
Company_5,Energy,Japan,5.0,10.0,60.0,69.44,0.25,0.77,110.14,5.12
Company_6,Energy,USA,54.34,83.11,12.36,42.82,0.12,0.8,144.75,10.24
Company_7,Energy,India,5.72,72.43,25.11,49.65,0.59,0.82,131.33,15.63
Company_8,Technology,USA,97.04,97.7,25.4,84.44,0.37,0.83,104.5,5.9
Company_9,Consumer Goods,India,69.15,191.63,35.34,62.64,0.51,0.82,129.95,14.7
Company_10,Finance,USA,52.2,138.06,61.41,86.02,0.13,0.84,156.77,19.15
Company_11,Energy,Canada,103.96,93.14,34.3,41.65,0.44,0.54,79.02,17.84
Company_12,Consumer Goods,India,24.45,93.71,16.89,81.93,0.4,0.86,116.5,5.8
Company_13,Utilities,Germany,64.32,49.14,17.38,78.91,0.57,0.64,55.39,5.32
Company_14,Consumer Goods,Japan,19.46,109.82,51.57,89.68,0.59,0.57,110.64,3.5
Company_15,Utilities,UK,32.12,111.05,40.82,58.74,0.53,0.89,144.81,9.6
Company_16,Consumer Goods,Canada,66.94,36.92,65.77,71.14,0.18,0.71,84.98,10.17
Company_17,Technology,Japan,23.47,72.6,36.57,66.49,0.4,0.59,130.86,10.1
Company_18,Healthcare,India,30.46,144.87,78.5,87.52,0.32,0.71,30.0,17.44
Company_19,Energy,USA,67.14,94.1,42.14,68.7,0.38,0.65,107.61,-0.11
Company_20,Finance,Germany,97.31,71.62,41.52,88.43,0.26,0.72,44.02,4.81
